	Tr1: BatfKO v Control	Tr1: BatfKO v Irf1KO	Tr1: Irf1KO v Control
Dlx3	-0.087177543	0.001443079	-0.088620622
Dlx4	0	0	0
Dlx5	0	0	0
Dlx6	0	0	0
Dlx6os1	0	0	0
Dmap1	0.393872824	-0.0320603	0.425933124
Dmbt1	0.015348202	-0.103254199	0.118602401
Dmbx1	0	0	0
Dmc1	0.22960916	0.174167612	0.055441548
Dmd	-0.050619226	0.259981816	-0.310601042
Dmgdh	0	0	0
Dmkn	0.143529895	0.126978759	0.016551136
Dmp1	0	0	0
Dmpk	-0.134682832	-0.054367104	-0.080315729
Dmrt1	-0.114569913	0.005085706	-0.119655619
Dmrt2	0.12437566	0.051734494	0.072641166
Dmrt3	0.118570257	-0.075909779	0.194480036
Dmrta1	0	0	0
Dmrta2	0.314581165	0.329745714	-0.015164549
Dmrtb1	0	0	0
Dmrtc1b	-0.114569913	0.005085706	-0.119655619
Dmrtc2	0	0	0
Dmtf1	-0.587999049	-0.458537911	-0.129461139
Dmtn	-0.270222867	0.115609869	-0.385832736
Dmwd	-0.848435481	-0.863561547	0.015126066
Dmxl1	0.157118008	0.220470567	-0.063352559
Dmxl2	0.555713305	0.902935049	-0.347221744
Dna2	0.462125487	0.860423776	-0.398298289
Dnaaf1	-0.135024174	-0.3188562	0.183832026
Dnaaf2	-0.049997318	0.07452155	-0.124518868
Dnaaf3	-0.63306037	-0.247379841	-0.385680529
Dnah1	0.074182539	-0.058639806	0.132822345
Dnah10	-0.19975559	-0.307048958	0.107293368
Dnah11	0.100490577	-0.020129655	0.120620231
Dnah17	-0.123843799	-0.663665877	0.539822078
Dnah2	0.117489043	0.217976169	-0.100487125
Dnah5	-0.114569913	0.005085706	-0.119655619
Dnah7a	0.826352192	2.59250165	-1.766149458
Dnah7b	-0.111152481	0.080008154	-0.191160634
Dnah8	-0.419963154	-0.123525644	-0.29643751
Dnah9	0.273503899	0.264337348	0.009166551
Dnahc1	0	0	0
Dnahc10	0	0	0
Dnahc11	0	0	0
Dnahc17	0	0	0
Dnahc2	0	0	0
Dnahc5	0	0	0
Dnahc6	0	0	0
Dnahc7b	0	0	0
Dnahc8	0	0	0
Dnahc9	0	0	0
Dnaic1	0	0	0
Dnaic2	0	0	0
Dnaja1	0.069837132	-0.109187372	0.179024505
Dnaja2	0.263760693	0.3286791	-0.064918407
Dnaja3	0.23933421	-0.01723703	0.25657124
Dnaja4	-0.05868236	-0.408690017	0.350007657
Dnajb1	-0.275722405	-0.203891202	-0.071831203
Dnajb11	0.146458922	0.10517381	0.041285112
Dnajb12	-0.05949532	-0.450978804	0.391483484
Dnajb13	0.375070572	-0.339214122	0.714284694
Dnajb14	0.112552356	0.302812856	-0.1902605
Dnajb2	-0.148349624	-0.63425336	0.485903736
Dnajb3	0.352591544	0.396487694	-0.04389615
Dnajb4	-0.79903332	-1.128668069	0.329634749
Dnajb5	-0.051856208	0.293861288	-0.345717496
Dnajb6	-0.320388156	-0.650515751	0.330127595
Dnajb7	0.027762284	-0.188365	0.216127284
Dnajb8	0.034203244	-0.053633596	0.087836841
Dnajb9	-0.064614162	-0.097828019	0.033213857
Dnajc1	-0.468697205	-1.147115763	0.678418557
Dnajc10	0.400053207	0.715208231	-0.315155024
Dnajc11	-0.032094206	0.939613104	-0.971707309
Dnajc12	0.111849392	-0.418848247	0.530697639
Dnajc13	-0.094454565	0.236229102	-0.330683667
Dnajc14	0.125919006	0.372236826	-0.24631782
Dnajc15	-0.032671903	-0.071406733	0.03873483
Dnajc16	-0.685191341	-0.360535599	-0.324655742
Dnajc17	-0.109153602	-0.286820547	0.177666945
Dnajc18	0.180492111	-0.240992283	0.421484394
Dnajc19	0.507104079	0.269609437	0.237494642
Dnajc2	-0.022132562	-0.375405796	0.353273234
Dnajc21	-0.282044726	-0.545841775	0.263797049
Dnajc22	0.032746052	0.427415825	-0.394669772
Dnajc24	0.148751011	0.05607941	0.0926716
Dnajc25	0.332270807	-0.127486014	0.459756821
Dnajc27	0.336520702	0.740949307	-0.404428605
Dnajc28	-0.240405985	-0.052765115	-0.187640869
Dnajc3	-0.01581059	-0.136680598	0.120870007
Dnajc30	0.075651631	0.554239226	-0.478587595
Dnajc4	0.462006273	-0.144392868	0.606399141
Dnajc5	-0.250657772	-0.403143944	0.152486172
Dnajc5b	-0.122365911	-0.024741911	-0.097624
Dnajc6	-0.001312797	-0.204025686	0.202712888
Dnajc7	-0.054957725	-0.207441146	0.15248342
Dnajc8	0.073351856	-0.020426687	0.093778543
Dnajc9	0.362809951	0.443807697	-0.080997746
Dnal1	0.255190974	-0.024810914	0.280001888
Dnal4	-0.205183461	-0.192889115	-0.012294347
Dnalc1	0	0	0
Dnalc4	0	0	0
Dnali1	0.024387721	-0.162404538	0.186792259
Dnase1	0	0	0
Dnase1l1	0.057332633	0.097325329	-0.039992696
Dnase1l2	-0.011138438	-0.135547142	0.124408703
Dnase1l3	0.066129076	0.11381982	-0.047690744
Dnase2a	0.095045018	-0.351816382	0.446861401
Dnd1	-0.031284252	0.012960684	-0.044244936
Dner	0	0	0
Dnlz	-0.061275825	0.050183762	-0.111459587
Dnm1	-1.4376707	-2.160818103	0.723147402
Dnm1l	0.333605555	0.348265675	-0.014660119
Dnm2	-0.060442157	-0.254820588	0.194378431
Dnm3	0.716332685	1.105339455	-0.389006769
Dnm3os	0.024596175	-0.164130954	0.188727129
Dnmbp	0.340293292	0.291879463	0.048413829
Dnmt1	-0.219342161	0.378607994	-0.597950155
Dnmt3a	1.244998599	1.158738297	0.086260301
Dnmt3aos	0.025151592	-0.168731702	0.193883294
Dnmt3b	0.664231019	0.688104541	-0.023873523
Dnmt3l	0	0	0
Dnpep	0.145416818	0.112355749	0.033061069
Dnph1	0.596234487	1.055966552	-0.459732065
Dntt	-3.278015757	-3.718164133	0.440148376
Dnttip1	-0.482881422	0.028119558	-0.51100098
Dnttip2	0.271887446	0.106165123	0.165722322
Doc2a	-0.303984953	-0.589211322	0.285226369
Doc2b	0.02117425	-0.135987411	0.157161661
Doc2g	0.117944876	-0.639829578	0.757774454
Dock1	0	0	0
Dock10	0.574416775	0.35272027	0.221696505
Dock11	0.041644925	0.235659735	-0.19401481
Dock2	-0.128409835	-0.166438245	0.03802841
Dock3	-0.401982199	-0.172354481	-0.229627718
Dock4	0.587774902	0.616124306	-0.028349404
Dock5	-0.859431699	-0.526742832	-0.332688867
Dock6	-0.156364883	-0.534723286	0.378358403
Dock7	-0.56578572	0.018304619	-0.584090338
Dock8	0.086005109	0.128145596	-0.042140487
Dock9	-0.351816436	-0.355851124	0.004034688
Dohh	0.078950641	-0.091880813	0.170831454
Dok1	0.271337312	0.487899498	-0.216562186
Dok2	0.34223671	0.512430767	-0.170194057
Dok3	0.210864089	0.193981591	0.016882498
Dok4	0.112013921	-0.331971867	0.443985788
Dok5	0	0	0
Dok6	0	0	0
Dok7	-0.035478986	-0.232747103	0.197268116
Dolk	0.072447191	0.544857314	-0.472410123
Dolpp1	0.119997599	-0.157452956	0.277450555
Dom3z	0	0	0
Donson	0.257647957	0.724679497	-0.46703154
Dopey1	-0.115310672	-0.256526067	0.141215395
Dopey2	-0.909397819	-0.809326829	-0.10007099
Dos	0.024274305	-0.215944571	0.240218876
Dot1l	0.428356773	0.381557403	0.04679937
Doxl2	0.023119495	-0.151919846	0.175039341
Dpagt1	-0.118689641	0.101481213	-0.220170854
Dpcd	0.030705655	0.087473505	-0.05676785
Dpcr1	0.116794199	-0.167250295	0.284044494
Dpep1	0.032842603	-0.220507833	0.253350436
Dpep2	0.135379764	0.488992196	-0.353612431
Dpep3	0	0	0
Dpf1	-1.572566133	-2.674487642	1.101921509
Dpf2	0.030803449	-0.111298613	0.142102062
Dpf3	0.024156138	-0.160487166	0.184643304
Dph1	0.301581706	0.439648168	-0.138066463
Dph2	-0.318704946	-0.001026686	-0.31767826
Dph3	0.126184621	0.277916709	-0.151732087
Dph5	0.600471408	1.021089662	-0.420618254
Dph6	-0.033812777	0.496648189	-0.530460966
Dph7	0.100753277	0.076581598	0.024171679
Dpm1	0.324091382	0.200887999	0.123203383
Dpm2	-0.323796435	-0.407257274	0.08346084
Dpm3	-0.276032508	-0.459726254	0.183693746
Dpp10	0	0	0
Dpp3	0.19164589	0.487824676	-0.296178786
Dpp4	0.727735201	0.979587936	-0.251852736
Dpp6	0	0	0
Dpp7	-0.159935725	-0.286011158	0.126075433
Dpp8	0.318331844	0.73354969	-0.415217846
Dpp9	-0.417606059	-0.460501863	0.042895804
Dppa1	0	0	0
Dppa2	0	0	0
Dppa3	0	0	0
Dppa5a	0	0	0
Dpt	0	0	0
Dpy19l1	-0.02642811	0.577723745	-0.604151855
Dpy19l2	0	0	0
Dpy19l3	-0.28294145	0.39107266	-0.67401411
Dpy19l4	0.321746701	0.183352313	0.138394388
Dpy30	0.336917033	0.139730738	0.197186295
Dpyd	0	0	0
Dpysl2	-0.340153301	-0.642373734	0.302220433
Dpysl3	0.081373233	0.332645032	-0.251271798
Dpysl4	0	0	0
Dpysl5	-0.367639473	-0.557041052	0.18940158
Dqx1	-0.08622734	-0.42303292	0.33680558
Dr1	0.084169545	0.142247941	-0.058078396
Dram1	0.006770342	-0.076060481	0.082830823
Dram2	-0.223054372	-0.398433537	0.175379165
Drap1	0.153460246	-0.095188973	0.248649219
Draxin	0.152591934	0.137654639	0.014937295
Drc1	0.19190419	-1.115731047	1.307635237
Drd1a	0	0	0
Drd3	0	0	0
Drd4	0.012797981	0.002612369	0.010185612
Drd5	0	0	0
Drg1	-0.101110891	0.018412173	-0.119523064
Drg2	0.098353102	-0.080600028	0.17895313
Drosha	0.297169473	0.572755368	-0.275585895
Drp2	-0.120176404	0.006994281	-0.127170685
Dsc1	0	0	0
Dsc2	0	0	0
Dsc3	0	0	0
Dscam	0.152591934	0.137654639	0.014937295
Dscaml1	0.152591934	0.137654639	0.014937295
Dscc1	0.413805695	0.655251679	-0.241445984
Dscr3	-0.005941778	-0.237774068	0.231832289
Dse	0.288863174	0.592090078	-0.303226904
Dsel	0.295783319	0.300546484	-0.004763165
Dsg1a	0	0	0
Dsg1b	-0.114569913	0.005085706	-0.119655619
Dsg2	-0.009040173	-0.556285981	0.547245808
Dsg3	-0.048297037	-0.127530766	0.079233729
Dsg4	-0.114569913	0.005085706	-0.119655619
Dsn1	-0.220152407	0.128878067	-0.349030474
Dsp	-0.396000832	1.216378942	-1.612379774
Dspp	0	0	0
Dst	-0.923644286	-0.744886893	-0.178757393
Dstn	0.119086392	0.03243675	0.086649642
Dstyk	0.283673929	-0.247412365	0.531086294
Dtd1	0.159426476	0.329052054	-0.169625578
Dtd2	-0.647319613	-0.106392865	-0.540926748
Dthd1	-0.06837219	0.216297294	-0.284669484
Dtl	0.029204566	1.063992428	-1.034787862
Dtna	0	0	0
Dtnb	0.455898727	0.333461334	0.122437394
Dtnbp1	0.290622638	-0.151737559	0.442360196
Dtwd1	0.334020681	0.554873282	-0.220852601
Dtwd2	0.533122281	0.326655428	0.206466853
Dtx1	-0.566354734	-1.809104989	1.242750255
Dtx2	0.07731633	-0.121616917	0.198933247
Dtx3	-0.431518199	-0.823667544	0.392149345
Dtx3l	-0.249954389	0.523175216	-0.773129605
Dtx4	0.424987967	0.256811454	0.168176513
Dtymk	0.336940163	0.900023478	-0.563083315
Dub1	0	0	0
Dub1a	0	0	0
Duox1	0.269882533	0.34976014	-0.079877607
Duox2	0.017833559	-0.117626541	0.1354601
Duoxa1	0.100643729	0.050724577	0.049919153
Duoxa2	0.022764493	0.048442882	-0.025678389
Dupd1	0	0	0
Dus1l	0.329213417	0.808691926	-0.479478509
Dus2	0.583526639	0.826757541	-0.243230902
Dus2l	0	0	0
Dus3l	0.652997052	0.496828582	0.15616847
Dus4l	0.027779015	0.799603532	-0.771824517
Dusp1	0.028263671	-0.225937304	0.254200975
Dusp10	0.355072665	-0.086880807	0.441953471
Dusp11	-0.128813011	-0.324877575	0.196064564
Dusp12	1.044652309	0.695234984	0.349417325
Dusp13	-0.115525697	0.004606292	-0.120131989
Dusp14	0.831706325	0.453924012	0.377782313
Dusp15	0.212876753	0.204441607	0.008435146
Dusp16	-0.377909441	-0.242407325	-0.135502117
Dusp18	0.144873572	-0.445789044	0.590662616
Dusp19	0.150956255	-0.062987724	0.21394398
Dusp2	1.248790285	1.463403146	-0.214612862
Dusp21	0	0	0
Dusp22	0.0739711	-0.004773493	0.078744593
Dusp23	-0.2992668	-0.490395645	0.191128845
Dusp26	0	0	0
Dusp27	0	0	0
Dusp28	0.329138595	0.455827817	-0.126689222
Dusp3	-1.336278032	-1.005929212	-0.33034882
Dusp4	1.045861685	1.183713044	-0.137851359
Dusp5	0.147750574	0.139506	0.008244575
Dusp6	-0.052017953	1.984445668	-2.036463621
Dusp7	-0.460120534	-0.602652271	0.142531737
Dusp8	-0.134225272	-0.142239834	0.008014562
Dusp9	-0.587518512	-0.500895435	-0.086623077
Dut	0.247334987	0.472235223	-0.224900236
Dux	0	0	0
Dvl1	-0.246412354	-0.467788854	0.221376499
Dvl2	-0.144202011	0.150408411	-0.294610423
Dvl3	-0.346363193	-0.438012939	0.091649746
Dxo	-0.053390361	0.42018211	-0.473572471
Dydc1	0	0	0
Dydc2	0	0	0
Dym	-0.358516453	-0.515175539	0.156659086
Dync1h1	0.139843875	0.313257823	-0.173413948
Dync1i1	0	0	0
Dync1i2	0.27970068	-0.246794329	0.526495009
Dync1li1	-0.364219084	-0.552974096	0.188755012
Dync1li2	0.209075779	0.024239554	0.184836226
Dync2h1	0.079448604	-0.079271569	0.158720173
Dync2li1	-0.304337983	0.235205858	-0.539543841
Dynll1	0.034202642	0.001722387	0.032480255
Dynll2	-0.061336549	0.003023433	-0.064359982
Dynlrb1	0.335878061	0.239778901	0.09609916
Dynlrb2	0	0	0
Dynlt1a	0.070554568	0.102030069	-0.031475501
Dynlt1b	-0.186640838	-0.281546843	0.094906005
Dynlt1e	0	0	0
Dynlt1f	0.178500177	0.156057563	0.022442614
Dynlt3	0.119974071	-0.12244458	0.242418651
Dyrk1a	-0.210976236	-0.054680562	-0.156295674
Dyrk1b	-0.717527717	-1.273456659	0.555928942
Dyrk2	-0.407675865	-0.075847756	-0.331828109
Dyrk3	-0.148898593	-0.107011294	-0.041887299
Dyrk4	0.050346609	0.020650092	0.029696518
Dysf	-1.402431312	-2.358220061	0.955788748
Dysfip1	0	0	0
Dyx1c1	0.92611638	-0.00785365	0.93397003
Dzank1	-0.304699901	-0.273465865	-0.031234036
Dzip1	0.326683039	-0.142915915	0.469598953
Dzip1l	0	0	0
Dzip3	0.325752036	0.361111943	-0.035359906
E030002O03Rik	-0.072684495	-0.061470852	-0.011213643
E030003E18Rik	0	0	0
E030011O05Rik	0.183110409	0.31795782	-0.134847411
E030013I19Rik	0.152591934	0.137654639	0.014937295
E030018B13Rik	0.030455049	-0.204560167	0.235015216
E030024N20Rik	-0.349339657	-0.371990606	0.022650949
E030025P04Rik	-0.114569913	0.005085706	-0.119655619
E030030I06Rik	-0.167825975	-0.125364936	-0.042461039
E130008D07Rik	0.185650655	0.173287083	0.012363572
E130012A19Rik	-0.231750115	-0.068022468	-0.163727646
E130018N17Rik	-0.138784491	0.010516452	-0.149300943
E130102H24Rik	0.015348202	-0.103254199	0.118602401
E130112N10Rik	0.176398188	-0.480307662	0.65670585
E130114P18Rik	0	0	0
E130201H02Rik	-0.168173426	-0.015756792	-0.152416634
E130215H24Rik	-0.058243407	-0.085488375	0.027244969
E130303B06Rik	0	0	0
E130304I02Rik	-0.087177543	0.001443079	-0.088620622
E130306D19Rik	0	0	0
E130307A14Rik	0.480151851	0.173889123	0.306262728
E130308A19Rik	0.086564699	0.2208467	-0.134282002
E130309D02Rik	0.395571327	0.690129022	-0.294557695
E130309D14Rik	0	0	0
E130309F12Rik	0	0	0
E130311K13Rik	-0.022415126	0.068337208	-0.090752335
E130317F20Rik	0.151534994	0.163152167	-0.011617174
E230008N13Rik	-0.114569913	0.005085706	-0.119655619
E230016K23Rik	0	0	0
E230016M11Rik	-0.087177543	0.001443079	-0.088620622
E230019M04Rik	0	0	0
E230025N22Rik	0.100490577	-0.020129655	0.120620231
E230029C05Rik	0.094389725	0.062448415	0.03194131
E2f1	-0.128622936	0.638748596	-0.767371532
E2f2	0.414736797	0.410018587	0.00471821
E2f3	-0.154981215	0.064803394	-0.219784609
E2f4	-0.341887819	-0.087745014	-0.254142805
E2f5	0.468387893	0.127231176	0.341156718
E2f6	0.026606835	0.646751259	-0.620144423
E2f7	-0.599913441	-0.474123957	-0.125789484
E2f8	0.012497547	0.875141891	-0.862644344
E330009J07Rik	-1.008211661	-1.163836989	0.155625328
E330012B07Rik	0	0	0
E330013P04Rik	0.195992856	0.185908473	0.010084383
E330016A19Rik	0	0	0
E330017A01Rik	0	0	0
E330020D12Rik	0.200039377	-0.331508223	0.531547599
E330021D16Rik	0.185650655	0.173287083	0.012363572
E330033B04Rik	-0.004591406	-0.648316655	0.643725248
E330034G19Rik	0	0	0
E430016F16Rik	-0.020420929	-0.50774087	0.487319941
E430018J23Rik	0.21820624	0.769610177	-0.551403937
E430025E21Rik	-0.055681807	0.052226743	-0.10790855
E4f1	-0.061541189	-0.64646333	0.584922141
E530001F21Rik	0.152591934	0.137654639	0.014937295
E530011L22Rik	0.25426543	-1.017313823	1.271579252
ENSMUSG00000068790	0	0	0
EU599041	0	0	0
Eaf1	-0.343577055	0.002413572	-0.345990626
Eaf2	-0.979443351	-1.256828058	0.277384707
Eapp	0.146346702	-0.075114192	0.221460893
Ears2	0.501918018	0.948126718	-0.446208701
Ebag9	0.421698365	0.773071202	-0.351372837
Ebf1	-0.870092741	-1.539993572	0.66990083
Ebf2	0	0	0
Ebf3	0	0	0
Ebf4	-0.166320331	0.037542575	-0.203862907
Ebi3	0.504905405	0.330644935	0.17426047
Ebna1bp2	0.346838679	0.284442628	0.062396052
Ebp	-0.019586413	0.339650342	-0.359236755
Ebpl	0.183395013	0.045756967	0.137638046
Ecd	0.066015551	0.16261311	-0.096597558
Ece1	0.09825784	0.078948891	0.019308949
Ece2	0.57635925	0.915369559	-0.339010309
Ecel1	0.117727236	0.031640667	0.086086569
Ech1	-0.444355965	-0.746237776	0.301881811
Echdc1	-0.194334772	0.1689278	-0.363262572
Echdc2	0.135981613	-0.461633601	0.597615214
Echdc3	-0.114569913	0.005085706	-0.119655619
Echs1	0.400753209	-0.020829344	0.421582552
Eci1	0.515574175	0.065897052	0.449677123
Eci2	-0.00726215	-0.466276203	0.459014053
Eci3	0	0	0
Ecm1	-3.198887014	-3.63346118	0.434574166
Ecm2	0.02117425	-0.135987411	0.157161661
Ecscr	0.00431865	0.088467054	-0.084148404
Ecsit	0.302839506	0.222189702	0.080649804
Ect2	-0.207763662	0.374870699	-0.582634361
Ect2l	-0.208634854	0.314988593	-0.523623447
Eda	0	0	0
Eda2r	0.546832716	0.717103139	-0.170270423
Edar	0	0	0
Edaradd	0.278066287	0.312835597	-0.03476931
Edc3	0.10647074	0.216492207	-0.110021467
Edc4	-0.236030105	-0.223229126	-0.012800979
Eddm3b	0	0	0
Edem1	-0.064692754	0.465956715	-0.530649469
Edem2	-0.257477075	-0.308476938	0.050999863
Edem3	-0.067794405	-0.019118968	-0.048675437
Edf1	0.267982856	0.310420533	-0.042437676
Edil3	0	0	0
Edn1	0	0	0
Edn3	0.273503899	0.264337348	0.009166551
Ednra	-0.270631633	-0.140843203	-0.129788429
Ednrb	-0.087177543	0.001443079	-0.088620622
Edrf1	-0.441625964	-0.450763941	0.009137977
Eea1	0.097057693	-0.428521545	0.525579239
Eed	0.362235821	0.101011227	0.261224594
Eef1a1	0.069947487	-0.324769779	0.394717266
Eef1a2	-0.097725155	-0.045464731	-0.052260424
Eef1b2	0.274770847	-0.032643684	0.307414531
Eef1d	0.223674423	-0.018221408	0.24189583
Eef1e1	0.82988064	0.644751762	0.185128878
Eef1g	0.280721504	-0.072381372	0.353102876
Eef2	0.113928122	-0.219178086	0.333106208
Eef2k	-0.528982613	-0.318779465	-0.210203148
Eefsec	0.311836896	0.363908495	-0.052071599
Eepd1	0.082716107	0.187850087	-0.10513398
Efcab1	0	0	0
Efcab10	0	0	0
Efcab11	0.327752038	0.828527152	-0.500775114
Efcab12	0.362752195	0.035394406	0.327357788
Efcab14	-0.026138415	0.141153629	-0.167292044
Efcab2	0.539966138	0.181267223	0.358698914
Efcab3	0	0	0
Efcab4a	-0.083384149	-0.045704102	-0.037680047
Efcab4b	-0.259132595	-0.332719936	0.073587341
Efcab5	0.066129076	0.11381982	-0.047690744
Efcab6	0	0	0
Efcab7	0.654691174	0.485265821	0.169425353
Efcab8	0.022697327	-0.148442318	0.171139645
Efcab9	-0.138352757	0.010937812	-0.149290569
Efcc1	0.005763771	-0.063362541	0.069126313
Efemp1	0	0	0
Efemp2	-1.320861671	-0.839987341	-0.48087433
Efha1	0	0	0
Efha2	0	0	0
Efhb	0	0	0
Efhc1	-0.335906921	0.165050006	-0.500956926
Efhc2	0.245040251	0.188318769	0.056721482
Efhd1	-0.138303273	-0.330291083	0.19198781
Efhd2	0.409728377	0.688845589	-0.279117212
Efna1	-0.21597046	-0.087820232	-0.128150228
Efna2	-0.01400442	-0.500250143	0.486245723
Efna3	-0.063695524	-0.077002047	0.013306522
Efna4	-0.285671236	-0.363856394	0.078185158
Efna5	0.0932101	0.054579981	0.038630119
Efnb1	-0.263240233	-0.081758958	-0.181481276
Efnb2	0.369029084	0.329425181	0.039603903
Efnb3	-0.24039673	-0.120292437	-0.120104293
Efr3a	-0.127781699	0.074400738	-0.202182436
Efr3b	-0.058867246	-0.180395792	0.121528546
Efs	0.020386143	0.048993799	-0.028607656
Eftud1	0.309087197	0.169150689	0.139936508
Eftud2	0.20638377	0.579162795	-0.372779025
Egf	0.2615296	0.038403411	0.223126189
Egfl6	-0.114569913	0.005085706	-0.119655619
Egfl7	0.070156959	-0.001804885	0.071961844
Egfl8	0.030262456	-0.013552287	0.043814743
Egflam	0	0	0
Egfr	-0.268996809	-0.258590673	-0.010406136
Egln1	-1.696016009	-1.802038578	0.106022569
Egln2	-0.140132827	-0.033762805	-0.106370022
Egln3	-1.810495666	-1.942371564	0.131875899
Egr1	-0.119009684	0.232854723	-0.351864407
Egr2	0.199098304	0.787515055	-0.588416751
Egr3	1.541848309	1.534147553	0.007700756
Egr4	-0.087177543	0.001443079	-0.088620622
Ehbp1	-0.335042896	-0.12815655	-0.206886346
Ehbp1l1	-0.710970553	-1.042182856	0.331212302
Ehd1	0.736542411	0.544853854	0.191688557
Ehd2	0.572282886	1.159056831	-0.586773945
Ehd3	-0.378327772	-0.608297488	0.229969716
Ehd4	-0.354240903	-0.481643681	0.127402778
Ehf	0.017833559	-0.117626541	0.1354601
Ehhadh	0.124781929	0.326433734	-0.201651805
Ehmt1	-0.390765258	-0.407227436	0.016462178
Ehmt2	0.282931894	-0.055875075	0.338806969
Ei24	0.7909294	0.703936129	0.086993271
Eid1	-0.904260889	-0.604313791	-0.299947099
Eid2	-0.188429514	-0.164284915	-0.024144599
Eid2b	0.217422813	-0.692031678	0.909454491
Eid3	0.030085185	-0.45986612	0.489951305
Eif1	0.119279986	-0.356674742	0.475954728
Eif1a	-0.190064926	0.109592394	-0.29965732
Eif1ad	0.309430427	0.588381846	-0.278951419
Eif1ax	0.297648054	0.327201234	-0.02955318
Eif1b	-0.455579417	-0.367644836	-0.087934581
Eif2a	0.021691284	-0.252291085	0.273982369
Eif2ak1	-0.283984021	-0.224282633	-0.059701388
Eif2ak2	-0.295717231	-0.253751478	-0.041965753
Eif2ak3	-0.248228891	-0.32510635	0.076877459
Eif2ak4	-0.152139517	-0.215721232	0.063581715
Eif2b1	0.084750076	0.00275088	0.081999196
Eif2b2	-0.13719156	-0.494217253	0.357025694
Eif2b3	0.49201358	0.614802968	-0.122789387
Eif2b4	0.56799676	0.300650393	0.267346367
Eif2b5	0.048120299	0.166077962	-0.117957663
Eif2c1	0	0	0
Eif2c2	0	0	0
Eif2c3	0	0	0
Eif2c4	0	0	0
Eif2d	0.520792655	0.905984533	-0.385191878
Eif2s1	0.257755624	0.391846888	-0.134091264
Eif2s2	0.103911961	-0.491283755	0.595195716
Eif2s3x	0.054506621	0.279165687	-0.224659066
Eif2s3y	0.015348202	-0.103254199	0.118602401
Eif3a	-0.115357634	-0.384934905	0.269577271
Eif3b	0.103843353	0.377608593	-0.27376524
Eif3c	0.246233141	0.006862227	0.239370913
Eif3d	0.136447939	-0.076165762	0.2126137
Eif3e	0.317529524	0.048511502	0.269018022
Eif3f	0.051980107	-0.403662554	0.455642661
Eif3g	0.199607134	-0.160679375	0.360286509
Eif3h	0.160687357	-0.192303877	0.352991234
Eif3i	0.085757845	-0.090937542	0.176695387
Eif3j	0	0	0
Eif3k	0.211459136	-0.116309794	0.327768931
Eif3l	0.164235827	0.150937238	0.013298589
Eif3m	0.29809129	0.059557194	0.238534096
Eif4a1	0.022140677	0.191971963	-0.169831286
Eif4a2	0.066200815	-0.368593459	0.434794273
Eif4a3	0.01314033	0.099921115	-0.086780785
Eif4b	0.177522485	0.200196449	-0.022673963
Eif4e	0.108887206	0.287825821	-0.178938615
Eif4e1b	0	0	0
Eif4e2	0.354063633	0.073786216	0.280277417
Eif4e3	-1.091296609	-0.864941571	-0.226355037
Eif4ebp1	-0.490533719	-0.522258628	0.031724908
Eif4ebp2	-0.045115485	0.148605774	-0.193721258
Eif4ebp3	-0.20087357	-0.535569978	0.334696408
Eif4enif1	0.518006169	0.748948839	-0.23094267
Eif4g1	0.260423059	0.913316194	-0.652893135
Eif4g2	0.264046263	0.603119914	-0.339073652
Eif4g3	0.230889056	0.408267383	-0.177378327
Eif4h	0.228934477	0.302339677	-0.0734052
Eif5	-0.031274129	-0.509035292	0.477761163
Eif5a	-0.388465068	-0.116431796	-0.272033272
Eif5a2	0.108478225	0.827883219	-0.719404994
Eif5b	-0.235978182	-0.758580708	0.522602526
Eif6	0.128104954	0.215517765	-0.087412811
Elac1	-0.355664677	-0.423488522	0.067823845
Elac2	0.494591296	0.813285661	-0.318694366
Elane	0.017833559	-0.117626541	0.1354601
Elavl1	0.19169156	0.592287194	-0.400595634
Elavl2	0	0	0
Elavl3	0.030208124	0.000487014	0.029721111
Elavl4	0	0	0
Elf1	0.022747904	0.242206536	-0.219458632
Elf2	0.025656515	0.03058191	-0.004925395
Elf3	0.015348202	-0.103254199	0.118602401
Elf4	-0.354293326	-0.015942601	-0.338350725
Elf5	0	0	0
Elfn1	-0.095745569	-0.045490383	-0.050255187
Elfn2	-0.126789881	-0.498141308	0.371351427
Elk1	0.183266071	0.19495303	-0.011686959
Elk3	0.477289637	0.532832767	-0.055543131
Elk4	-0.040671543	0.132114131	-0.172785674
Ell	-0.229104876	-0.424859408	0.195754532
Ell2	1.032524397	1.023510398	0.009013999
Ell3	0.021935181	-0.110349237	0.132284418
Elmo1	0.078900612	0.151348394	-0.072447782
Elmo2	-0.820269074	-0.340993183	-0.479275891
Elmo3	0.089522221	-0.596237902	0.685760123
Elmod1	0	0	0
Elmod2	0.249675283	0.005953847	0.243721436
Elmod3	-0.324348077	-0.241455778	-0.082892299
Elmsan1	-0.250626219	-0.216464619	-0.0341616
Eln	0.022697327	-0.148442318	0.171139645
Elof1	-0.727302699	-0.247974693	-0.479328007
Elovl1	-0.047076003	-0.120526514	0.073450511
Elovl2	-0.114569913	0.005085706	-0.119655619
Elovl3	0.020790558	0.100554915	-0.079764356
Elovl4	0.052474201	-0.021145471	0.073619673
Elovl5	-0.311070157	-0.22588945	-0.085180707
Elovl6	-0.868858634	-1.751628507	0.882769873
Elovl7	0.527951521	0.164347186	0.363604336
Elp2	0.160527466	0.45838964	-0.297862174
